mrna_crosswalk,py_index
ENSG00000131591,0
ENSG00000131584,1
ENSG00000221978,2
ENSG00000215790,3
ENSG00000116151,4
ENSG00000157870,5
ENSG00000116213,6
ENSG00000204859,7
ENSG00000171621,8
ENSG00000162444,9
ENSG00000130940,10
ENSG00000120942,11
ENSG00000177000,12
ENSG00000011021,13
ENSG00000083444,14
ENSG00000171729,15
ENSG00000162458,16
ENSG00000183888,17
ENSG00000142627,18
ENSG00000132881,19
ENSG00000117115,20
ENSG00000162482,21
ENSG00000053371,22
ENSG00000040487,23
ENSG00000142794,24
ENSG00000133216,25
ENSG00000169641,26
ENSG00000204219,27
ENSG00000117305,28
ENSG00000179163,29
ENSG00000189266,30
ENSG00000169504,31
ENSG00000204178,32
ENSG00000162430,33
ENSG00000158006,34
ENSG00000158008,35
ENSG00000175087,36
ENSG00000060642,37
ENSG00000090020,38
ENSG00000142784,39
ENSG00000186501,40
ENSG00000130775,41
ENSG00000130766,42
ENSG00000084628,43
ENSG00000168528,44
ENSG00000121753,45
ENSG00000162520,46
ENSG00000162522,47
ENSG00000142687,48
ENSG00000020129,49
ENSG00000116885,50
ENSG00000163875,51
ENSG00000163879,52
ENSG00000131238,53
ENSG00000171793,54
ENSG00000127124,55
ENSG00000127125,56
ENSG00000186409,57
ENSG00000117399,58
ENSG00000159214,59
ENSG00000086015,60
ENSG00000117472,61
ENSG00000085998,62
ENSG00000117480,63
ENSG00000123472,64
ENSG00000142973,65
ENSG00000186160,66
ENSG00000132122,67
ENSG00000085831,68
ENSG00000154222,69
ENSG00000121310,70
ENSG00000174348,71
ENSG00000058799,72
ENSG00000211452,73
ENSG00000116209,74
ENSG00000116133,75
ENSG00000134709,76
ENSG00000134716,77
ENSG00000162599,78
ENSG00000162604,79
ENSG00000132849,80
ENSG00000230798,81
ENSG00000203965,82
ENSG00000079739,83
ENSG00000185483,84
ENSG00000116678,85
ENSG00000184588,86
ENSG00000152763,87
ENSG00000116704,88
ENSG00000116717,89
ENSG00000024526,90
ENSG00000066557,91
ENSG00000116783,92
ENSG00000117069,93
ENSG00000180488,94
ENSG00000162614,95
ENSG00000162616,96
ENSG00000137941,97
ENSG00000142875,98
ENSG00000203943,99
ENSG00000097096,100
ENSG00000142871,101
ENSG00000143013,102
ENSG00000117228,103
ENSG00000162645,104
ENSG00000154451,105
ENSG00000171492,106
ENSG00000122482,107
ENSG00000137936,108
ENSG00000117528,109
ENSG00000117519,110
ENSG00000117620,111
ENSG00000162692,112
ENSG00000134215,113
ENSG00000162639,114
ENSG00000116299,115
ENSG00000134222,116
ENSG00000134243,117
ENSG00000134202,118
ENSG00000168710,119
ENSG00000177272,120
ENSG00000162777,121
ENSG00000064886,122
ENSG00000173947,123
ENSG00000143079,124
ENSG00000184599,125
ENSG00000155380,126
ENSG00000081026,127
ENSG00000213281,128
ENSG00000198019,129
ENSG00000174827,130
ENSG00000014914,131
ENSG00000023902,132
ENSG00000143401,133
ENSG00000159208,134
ENSG00000143452,135
ENSG00000143418,136
ENSG00000143412,137
ENSG00000143409,138
ENSG00000213190,139
ENSG00000163220,140
ENSG00000143546,141
ENSG00000196754,142
ENSG00000160678,143
ENSG00000160741,144
ENSG00000143578,145
ENSG00000160712,146
ENSG00000143622,147
ENSG00000116586,148
ENSG00000254726,149
ENSG00000160789,150
ENSG00000198715,151
ENSG00000183856,152
ENSG00000132688,153
ENSG00000027869,154
ENSG00000143297,155
ENSG00000163568,156
ENSG00000213088,157
ENSG00000158714,158
ENSG00000162738,159
ENSG00000162739,160
ENSG00000117090,161
ENSG00000215845,162
ENSG00000186517,163
ENSG00000162755,164
ENSG00000173110,165
ENSG00000203747,166
ENSG00000072694,167
ENSG00000239887,168
ENSG00000162733,169
ENSG00000132196,170
ENSG00000143248,171
ENSG00000185630,172
ENSG00000198771,173
ENSG00000143147,174
ENSG00000213064,175
ENSG00000117479,176
ENSG00000094963,177
ENSG00000185278,178
ENSG00000116191,179
ENSG00000162782,180
ENSG00000135821,181
ENSG00000135862,182
ENSG00000058085,183
ENSG00000157181,184
ENSG00000116711,185
ENSG00000116750,186
ENSG00000066279,187
ENSG00000177888,188
ENSG00000118193,189
ENSG00000081277,190
ENSG00000159166,191
ENSG00000159176,192
ENSG00000159348,193
ENSG00000133048,194
ENSG00000159388,195
ENSG00000058668,196
ENSG00000122188,197
ENSG00000143845,198
ENSG00000143850,199
ENSG00000186007,200
ENSG00000117266,201
ENSG00000069275,202
ENSG00000117280,203
ENSG00000133065,204
ENSG00000117335,205
ENSG00000203709,206
ENSG00000174059,207
ENSG00000196878,208
ENSG00000203706,209
ENSG00000082497,210
ENSG00000054392,211
ENSG00000117650,212
ENSG00000066027,213
ENSG00000152104,214
ENSG00000117724,215
ENSG00000082482,216
ENSG00000136636,217
ENSG00000162814,218
ENSG00000143353,219
ENSG00000162817,220
ENSG00000117791,221
ENSG00000154305,222
ENSG00000203697,223
ENSG00000143514,224
ENSG00000162923,225
ENSG00000143815,226
ENSG00000143811,227
ENSG00000181450,228
ENSG00000119280,229
ENSG00000143643,230
ENSG00000182118,231
ENSG00000162946,232
ENSG00000116991,233
ENSG00000143674,234
ENSG00000116957,235
ENSG00000186197,236
ENSG00000203668,237
ENSG00000174371,238
ENSG00000143702,239
ENSG00000184731,240
ENSG00000130508,241
ENSG00000182551,242
ENSG00000176887,243
ENSG00000143870,244
ENSG00000162976,245
ENSG00000196208,246
ENSG00000134324,247
ENSG00000163032,248
ENSG00000118965,249
ENSG00000132031,250
ENSG00000143878,251
ENSG00000219626,252
ENSG00000115137,253
ENSG00000213699,254
ENSG00000138028,255
ENSG00000138074,256
ENSG00000115295,257
ENSG00000162949,258
ENSG00000049323,259
ENSG00000143924,260
ENSG00000138036,261
ENSG00000163001,262
ENSG00000119866,263
ENSG00000162929,264
ENSG00000115902,265
ENSG00000143971,266
ENSG00000169621,267
ENSG00000075340,268
ENSG00000135636,269
ENSG00000116096,270
ENSG00000144040,271
ENSG00000135631,272
ENSG00000116127,273
ENSG00000163017,274
ENSG00000115318,275
ENSG00000115363,276
ENSG00000152284,277
ENSG00000042445,278
ENSG00000042493,279
ENSG00000115525,280
ENSG00000068615,281
ENSG00000233757,282
ENSG00000235584,283
ENSG00000121152,284
ENSG00000114982,285
ENSG00000168763,286
ENSG00000075568,287
ENSG00000196872,288
ENSG00000144218,289
ENSG00000170500,290
ENSG00000071054,291
ENSG00000198914,292
ENSG00000135974,293
ENSG00000071051,294
ENSG00000144063,295
ENSG00000169679,296
ENSG00000188177,297
ENSG00000125611,298
ENSG00000169607,299
ENSG00000144134,300
ENSG00000163064,301
ENSG00000019169,302
ENSG00000115109,303
ENSG00000136717,304
ENSG00000152076,305
ENSG00000136002,306
ENSG00000163040,307
ENSG00000224559,308
ENSG00000197927,309
ENSG00000150551,310
ENSG00000115839,311
ENSG00000144228,312
ENSG00000115919,313
ENSG00000121964,314
ENSG00000168280,315
ENSG00000150556,316
ENSG00000187123,317
ENSG00000123609,318
ENSG00000115145,319
ENSG00000157827,320
ENSG00000153234,321
ENSG00000115165,322
ENSG00000204380,323
ENSG00000241399,324
ENSG00000054219,325
ENSG00000136560,326
ENSG00000198648,327
ENSG00000172292,328
ENSG00000163072,329
ENSG00000163093,330
ENSG00000144362,331
ENSG00000071967,332
ENSG00000144354,333
ENSG00000163364,334
ENSG00000196659,335
ENSG00000197557,336
ENSG00000170035,337
ENSG00000115232,338
ENSG00000115252,339
ENSG00000144369,340
ENSG00000003436,341
ENSG00000151687,342
ENSG00000189362,343
ENSG00000115419,344
ENSG00000173559,345
ENSG00000081320,346
ENSG00000115520,347
ENSG00000226124,348
ENSG00000082146,349
ENSG00000155760,350
ENSG00000138380,351
ENSG00000116117,352
ENSG00000138400,353
ENSG00000178385,354
ENSG00000078018,355
ENSG00000178568,356
ENSG00000118242,357
ENSG00000115556,358
ENSG00000163481,359
ENSG00000163482,360
ENSG00000135912,361
ENSG00000115661,362
ENSG00000072195,363
ENSG00000169047,364
ENSG00000153832,365
ENSG00000077044,366
ENSG00000188042,367
ENSG00000115648,368
ENSG00000124839,369
ENSG00000132326,370
ENSG00000204104,371
ENSG00000180902,372
ENSG00000150995,373
ENSG00000134107,374
ENSG00000114026,375
ENSG00000134072,376
ENSG00000171148,377
ENSG00000163704,378
ENSG00000125037,379
ENSG00000132164,380
ENSG00000170876,381
ENSG00000077092,382
ENSG00000152642,383
ENSG00000153551,384
ENSG00000153558,385
ENSG00000144681,386
ENSG00000114739,387
ENSG00000177873,388
ENSG00000182606,389
ENSG00000114812,390
ENSG00000196345,391
ENSG00000163808,392
ENSG00000163814,393
ENSG00000249992,394
ENSG00000163820,395
ENSG00000172215,396
ENSG00000160791,397
ENSG00000164045,398
ENSG00000213689,399
ENSG00000178537,400
ENSG00000173531,401
ENSG00000164068,402
ENSG00000001617,403
ENSG00000004838,404
ENSG00000041880,405
ENSG00000164086,406
ENSG00000114902,407
ENSG00000168301,408
ENSG00000168306,409
ENSG00000168309,410
ENSG00000114405,411
ENSG00000144749,412
ENSG00000163378,413
ENSG00000114861,414
ENSG00000114480,415
ENSG00000064225,416
ENSG00000057019,417
ENSG00000181458,418
ENSG00000154175,419
ENSG00000170017,420
ENSG00000114423,421
ENSG00000198919,422
ENSG00000153283,423
ENSG00000114529,424
ENSG00000091972,425
ENSG00000163607,426
ENSG00000144857,427
ENSG00000072858,428
ENSG00000121579,429
ENSG00000178075,430
ENSG00000031081,431
ENSG00000180353,432
ENSG00000173230,433
ENSG00000065534,434
ENSG00000065371,435
ENSG00000160145,436
ENSG00000221955,437
ENSG00000114547,438
ENSG00000163884,439
ENSG00000197763,440
ENSG00000198585,441
ENSG00000154928,442
ENSG00000158186,443
ENSG00000248932,444
ENSG00000114115,445
ENSG00000163864,446
ENSG00000158258,447
ENSG00000175093,448
ENSG00000163710,449
ENSG00000152952,450
ENSG00000152977,451
ENSG00000163751,452
ENSG00000047457,453
ENSG00000244468,454
ENSG00000018408,455
ENSG00000244265,456
ENSG00000152601,457
ENSG00000114805,458
ENSG00000163659,459
ENSG00000163661,460
ENSG00000174899,461
ENSG00000118849,462
ENSG00000151967,463
ENSG00000163536,464
ENSG00000085276,465
ENSG00000173890,466
ENSG00000075420,467
ENSG00000228221,468
ENSG00000228561,469
ENSG00000242539,470
ENSG00000114450,471
ENSG00000145075,472
ENSG00000205981,473
ENSG00000176597,474
ENSG00000172578,475
ENSG00000163872,476
ENSG00000090539,477
ENSG00000182580,478
ENSG00000163923,479
ENSG00000188001,480
ENSG00000090530,481
ENSG00000163347,482
ENSG00000131127,483
ENSG00000182903,484
ENSG00000215375,485
ENSG00000168993,486
ENSG00000178950,487
ENSG00000145214,488
ENSG00000127415,489
ENSG00000163945,490
ENSG00000168936,491
ENSG00000068078,492
ENSG00000168924,493
ENSG00000185049,494
ENSG00000243449,495
ENSG00000130997,496
ENSG00000063978,497
ENSG00000109736,498
ENSG00000132406,499
ENSG00000109501,500
ENSG00000013288,501
ENSG00000179010,502
ENSG00000251580,503
ENSG00000178988,504
ENSG00000186222,505
ENSG00000170871,506
ENSG00000132405,507
ENSG00000173011,508
ENSG00000087008,509
ENSG00000157869,510
ENSG00000137449,511
ENSG00000118564,512
ENSG00000007062,513
ENSG00000169762,514
ENSG00000151552,515
ENSG00000163257,516
ENSG00000157765,517
ENSG00000091490,518
ENSG00000109680,519
ENSG00000154274,520
ENSG00000181826,521
ENSG00000065882,522
ENSG00000157796,523
ENSG00000121897,524
ENSG00000109814,525
ENSG00000163683,526
ENSG00000168421,527
ENSG00000174343,528
ENSG00000154277,529
ENSG00000124406,530
ENSG00000151806,531
ENSG00000163281,532
ENSG00000145246,533
ENSG00000109180,534
ENSG00000109220,535
ENSG00000134853,536
ENSG00000145241,537
ENSG00000018189,538
ENSG00000163626,539
ENSG00000163738,540
ENSG00000109321,541
ENSG00000156219,542
ENSG00000169245,543
ENSG00000169248,544
ENSG00000189157,545
ENSG00000138771,546
ENSG00000138764,547
ENSG00000138670,548
ENSG00000163624,549
ENSG00000163625,550
ENSG00000163629,551
ENSG00000138640,552
ENSG00000180346,553
ENSG00000184305,554
ENSG00000138696,555
ENSG00000196616,556
ENSG00000070190,557
ENSG00000168772,558
ENSG00000236699,559
ENSG00000168743,560
ENSG00000138801,561
ENSG00000198856,562
ENSG00000005059,563
ENSG00000123739,564
ENSG00000109534,565
ENSG00000174749,566
ENSG00000145362,567
ENSG00000174607,568
ENSG00000172403,569
ENSG00000138735,570
ENSG00000151458,571
ENSG00000164066,572
ENSG00000085871,573
ENSG00000153132,574
ENSG00000179387,575
ENSG00000109436,576
ENSG00000170153,577
ENSG00000109452,578
ENSG00000198589,579
ENSG00000109654,580
ENSG00000121211,581
ENSG00000137462,582
ENSG00000164114,583
ENSG00000109738,584
ENSG00000164125,585
ENSG00000248429,586
ENSG00000170088,587
ENSG00000109472,588
ENSG00000145439,589
ENSG00000198948,590
ENSG00000109586,591
ENSG00000164106,592
ENSG00000164117,593
ENSG00000164118,594
ENSG00000164120,595
ENSG00000151725,596
ENSG00000154553,597
ENSG00000083857,598
ENSG00000249430,599
ENSG00000153404,600
ENSG00000028310,601
ENSG00000170549,602
ENSG00000145545,603
ENSG00000164237,604
ENSG00000169862,605
ENSG00000154124,606
ENSG00000154122,607
ENSG00000183580,608
ENSG00000154153,609
ENSG00000133401,610
ENSG00000113384,611
ENSG00000113387,612
ENSG00000113389,613
ENSG00000164187,614
ENSG00000145604,615
ENSG00000164327,616
ENSG00000171522,617
ENSG00000112936,618
ENSG00000083720,619
ENSG00000151876,620
ENSG00000250722,621
ENSG00000251141,622
ENSG00000248779,623
ENSG00000112996,624
ENSG00000164283,625
ENSG00000067248,626
ENSG00000134352,627
ENSG00000113448,628
ENSG00000035499,629
ENSG00000164181,630
ENSG00000113595,631
ENSG00000069020,632
ENSG00000134056,633
ENSG00000183323,634
ENSG00000152939,635
ENSG00000183474,636
ENSG00000205572,637
ENSG00000205571,638
ENSG00000226259,639
ENSG00000172058,640
ENSG00000172062,641
ENSG00000145736,642
ENSG00000131844,643
ENSG00000113163,644
ENSG00000145703,645
ENSG00000164220,646
ENSG00000085365,647
ENSG00000164309,648
ENSG00000113296,649
ENSG00000249042,650
ENSG00000205464,651
ENSG00000153140,652
ENSG00000164199,653
ENSG00000113369,654
ENSG00000113391,655
ENSG00000175471,656
ENSG00000174136,657
ENSG00000174132,658
ENSG00000113532,659
ENSG00000145723,660
ENSG00000145725,661
ENSG00000181751,662
ENSG00000112874,663
ENSG00000184349,664
ENSG00000145743,665
ENSG00000164209,666
ENSG00000129595,667
ENSG00000047188,668
ENSG00000172869,669
ENSG00000113083,670
ENSG00000113368,671
ENSG00000138829,672
ENSG00000217128,673
ENSG00000233006,674
ENSG00000197375,675
ENSG00000113522,676
ENSG00000223442,677
ENSG00000164405,678
ENSG00000155329,679
ENSG00000237190,680
ENSG00000181904,681
ENSG00000132570,682
ENSG00000146021,683
ENSG00000112981,684
ENSG00000044115,685
ENSG00000249751,686
ENSG00000184584,687
ENSG00000171604,688
ENSG00000243056,689
ENSG00000113108,690
ENSG00000176087,691
ENSG00000120314,692
ENSG00000112852,693
ENSG00000164620,694
ENSG00000156453,695
ENSG00000013561,696
ENSG00000131507,697
ENSG00000178776,698
ENSG00000173210,699
ENSG00000132912,700
ENSG00000086570,701
ENSG00000082516,702
ENSG00000164330,703
ENSG00000145860,704
ENSG00000164611,705
ENSG00000040275,706
ENSG00000134516,707
ENSG00000043462,708
ENSG00000145936,709
ENSG00000094755,710
ENSG00000204764,711
ENSG00000120129,712
ENSG00000113719,713
ENSG00000253768,714
ENSG00000170085,715
ENSG00000146066,716
ENSG00000131187,717
ENSG00000113758,718
ENSG00000196923,719
ENSG00000184840,720
ENSG00000145911,721
ENSG00000054598,722
ENSG00000124570,723
ENSG00000124787,724
ENSG00000124785,725
ENSG00000124782,726
ENSG00000239264,727
ENSG00000111846,728
ENSG00000197977,729
ENSG00000008083,730
ENSG00000007944,731
ENSG00000230873,732
ENSG00000124795,733
ENSG00000172201,734
ENSG00000112242,735
ENSG00000145996,736
ENSG00000124766,737
ENSG00000079691,738
ENSG00000124610,739
ENSG00000158406,740
ENSG00000186470,741
ENSG00000026950,742
ENSG00000124635,743
ENSG00000196787,744
ENSG00000112812,745
ENSG00000213886,746
ENSG00000204681,747
ENSG00000204642,748
ENSG00000206503,749
ENSG00000204592,750
ENSG00000204574,751
ENSG00000146112,752
ENSG00000137310,753
ENSG00000234745,754
ENSG00000204482,755
ENSG00000204385,756
ENSG00000244731,757
ENSG00000224389,758
ENSG00000168477,759
ENSG00000213654,760
ENSG00000204287,761
ENSG00000196126,762
ENSG00000196735,763
ENSG00000204267,764
ENSG00000168394,765
ENSG00000240065,766
ENSG00000137309,767
ENSG00000186577,768
ENSG00000124664,769
ENSG00000064999,770
ENSG00000146197,771
ENSG00000112033,772
ENSG00000096063,773
ENSG00000112079,774
ENSG00000226976,775
ENSG00000172738,776
ENSG00000164626,777
ENSG00000124731,778
ENSG00000234753,779
ENSG00000137166,780
ENSG00000112559,781
ENSG00000112578,782
ENSG00000124702,783
ENSG00000112655,784
ENSG00000124571,785
ENSG00000172432,786
ENSG00000112715,787
ENSG00000112796,788
ENSG00000146072,789
ENSG00000170915,790
ENSG00000096093,791
ENSG00000065308,792
ENSG00000170899,793
ENSG00000168143,794
ENSG00000112208,795
ENSG00000112742,796
ENSG00000146242,797
ENSG00000065833,798
ENSG00000135318,799
ENSG00000135346,800
ENSG00000188994,801
ENSG00000135334,802
ENSG00000118412,803
ENSG00000123545,804
ENSG00000132423,805
